iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
57.0,-0.14464503526687622,-0.623519074537867,-0.24103900096223294,0.0,-0.14464503526687622,-0.017814498908560853,-0.25418658283290013,0.0,-0.16333727538585663,-0.12478240579366684,9.468203024650622e-143,-0.25418658283290013,0.0,-0.16424426436424255,-0.15601320564746857
58.0,-0.14486072957515717,-0.1157298681973627,-0.24126184133292222,0.0,-0.14486072957515717,-0.020233222614910642,-0.25418658283290013,0.0,-0.15737168490886688,-0.16051919758319855,1.2450294907187282e-147,-0.25418658283290013,0.0,-0.16085274517536163,0.12558647990226746
59.0,-0.14503982663154602,-0.5835397528997581,-0.2414772536912552,0.0,-0.14503982663154602,-0.017647447312871614,-0.25418658283290013,0.0,-0.15560665726661682,0.13491329550743103,2.7420611873834363e-153,-0.25418658283290013,0.0,-0.15504327416419983,-0.14709289371967316
60.0,-0.14506784081459045,-0.09874389978997233,-0.24168560334931496,0.0,-0.14506784081459045,-0.01964852812348819,-0.25418658283290013,0.0,-0.14674855768680573,-0.1397133767604828,1.5711213155267175e-152,-0.25418658283290013,0.0,-0.16577140986919403,0.13929566740989685
61.0,-0.14513105154037476,-0.5650223311916869,-0.24188723205066312,0.0,-0.14513105154037476,-0.02179263544178778,-0.25418658283290013,0.0,-0.14898645877838135,-0.15258318185806274,9.792642105135232e-158,-0.25418658283290013,0.0,-0.16014835238456726,-0.14125332236289978
62.0,-0.1452849954366684,-0.6096797646185803,-0.24208245984085736,0.0,-0.1452849954366684,-0.023756201659876203,-0.25418658283290013,0.0,-0.1548301875591278,-0.14549730718135834,3.207198036563447e-163,-0.25418658283290013,0.0,-0.1566317081451416,-0.17431311309337616
63.0,-0.14510008692741394,-0.0974974747086654,-0.24227158676260796,0.0,-0.14510008692741394,-0.02579404355492443,-0.25418658283290013,0.0,-0.13345029950141907,-0.15417808294296265,1.4969920219308847e-168,-0.25418658283290013,0.0,-0.14007973670959473,0.126192107796669
64.0,-0.1451617330312729,-0.5539868856036116,-0.2424548943944586,0.0,-0.1451617330312729,-0.027813254984525533,-0.25418658283290013,0.0,-0.14910665154457092,-0.15704278647899628,4.52702136031114e-174,-0.25418658283290013,0.0,-0.16750915348529816,-0.14143463969230652
65.0,-0.1451483964920044,-0.5206892785296602,-0.24263264724958652,0.0,-0.1451483964920044,-0.029292378123059418,-0.25418658283290013,0.0,-0.14428098499774933,-0.12543538212776184,1.1863131777349348e-179,-0.25418658283290013,0.0,-0.13737502694129944,-0.14314237236976624
66.0,-0.1449032872915268,-0.5303181975273437,-0.2428050940493375,0.0,-0.1449032872915268,-0.03112768604239421,-0.25418658283290013,0.0,-0.12872573733329773,-0.1522580087184906,1.5098445318259147e-184,-0.25418658283290013,0.0,-0.14904062449932098,-0.14551487565040588
